order_item_id,order_id,product_id,quantity
1,1001,124,3
2,1001,125,5
3,1001,120,1
4,1002,105,2
5,1003,122,1
6,1004,115,4
7,1004,116,5
8,1004,115,4
9,1005,107,5
10,1005,104,3
11,1005,114,1
12,1006,122,5
13,1006,116,5
14,1006,122,3
15,1007,108,4
16,1008,101,2
17,1009,107,2
18,1009,125,3
19,1009,110,3
20,1010,101,4
21,1011,106,2
22,1011,113,5
23,1011,123,2
24,1011,117,5
25,1012,103,4
26,1012,124,1
27,1012,114,1
28,1013,103,3
29,1013,119,4
30,1013,119,4
31,1013,123,4
32,1014,104,4
33,1014,101,3
34,1014,106,5
35,1015,123,3
36,1015,103,4
37,1015,104,2
38,1015,114,5
39,1016,117,1
40,1016,113,3
41,1016,124,3
42,1016,108,3
43,1017,103,5
44,1017,121,1
45,1018,125,3
46,1018,112,2
47,1019,104,2
48,1019,109,2
49,1020,120,2
50,1020,125,1
51,1021,125,4
52,1021,115,5
53,1022,122,5
54,1022,121,5
55,1022,111,3
56,1022,105,4
57,1023,116,4
58,1024,109,5
59,1024,102,3
60,1024,117,1
61,1025,115,4
62,1025,102,1
63,1025,112,3
64,1026,121,1
65,1027,115,5
66,1027,118,1
67,1027,115,5
68,1027,121,2
69,1028,120,4
70,1028,117,2
71,1028,102,4
72,1029,111,1
73,1030,102,2
74,1030,123,4
75,1031,117,5
76,1031,120,2
77,1031,112,3
78,1031,110,4
79,1032,125,3
80,1032,122,5
81,1032,102,3
82,1032,103,3
83,1033,118,4
84,1034,109,5
85,1034,105,3
86,1034,103,5
87,1035,112,3
88,1035,121,4
89,1036,120,1
90,1036,110,5
91,1037,121,3
92,1037,105,5
93,1037,103,4
94,1037,117,3
95,1038,112,3
96,1039,107,3
97,1039,125,4
98,1040,108,2
99,1040,105,1
100,1041,104,5
101,1041,125,5
102,1041,124,5
103,1042,122,3
104,1043,120,4
105,1043,105,2
106,1044,123,5
107,1044,106,4
108,1045,114,3
109,1046,115,5
110,1046,110,4
111,1047,118,2
112,1047,110,4
113,1048,112,5
114,1048,115,4
115,1049,125,4
116,1049,117,5
117,1049,114,2
118,1050,120,2
119,1050,109,1
120,1051,112,5
121,1051,104,5
122,1051,104,3
123,1051,103,2
124,1052,115,5
125,1052,105,4
126,1052,103,2
127,1053,112,1
128,1053,114,1
129,1053,113,5
130,1053,112,2
131,1054,103,3
132,1054,108,1
133,1054,111,1
134,1054,123,3
135,1055,105,1
136,1055,110,4
137,1056,125,4
138,1056,115,5
139,1057,103,1
140,1058,107,2
141,1058,118,5
142,1058,117,4
143,1059,125,3
144,1060,110,1
145,1060,102,2
146,1061,121,5
147,1061,115,1
148,1061,104,4
149,1061,120,5
150,1062,121,5
151,1063,123,2
152,1063,110,4
153,1064,120,3
154,1065,119,4
155,1065,106,1
156,1066,103,5
157,1066,118,5
158,1066,117,5
159,1067,113,4
160,1068,121,4
161,1069,109,1
162,1069,112,1
163,1069,112,2
164,1070,125,5
165,1071,105,1
166,1071,112,5
167,1071,111,2
168,1072,123,4
169,1072,121,2
170,1072,105,1
171,1072,123,4
172,1073,110,2
173,1074,107,1
174,1075,110,5
175,1075,113,5
176,1075,116,3
177,1076,125,2
178,1077,112,1
179,1077,121,3
180,1077,109,1
181,1078,114,4
182,1078,124,4
183,1078,113,3
184,1079,116,4
185,1079,112,5
186,1080,103,4
187,1080,103,4
188,1080,120,2
189,1081,111,1
190,1081,103,3
191,1081,122,3
192,1082,115,5
193,1082,123,4
194,1082,106,4
195,1083,115,1
196,1083,124,3
197,1083,120,4
198,1084,121,1
199,1084,103,4
200,1084,112,5
201,1085,101,2
202,1085,120,4
203,1086,105,1
204,1087,125,3
205,1087,112,4
206,1088,120,2
207,1089,112,3
208,1089,115,1
209,1089,119,2
210,1089,117,3
211,1090,111,3
212,1090,108,1
213,1090,101,2
214,1090,116,5
215,1091,118,1
216,1091,109,3
217,1091,123,4
218,1091,107,5
219,1092,123,4
220,1092,107,1
221,1092,105,1
222,1093,106,4
223,1093,103,3
224,1093,122,3
225,1093,123,1
226,1094,110,2
227,1094,123,2
228,1094,112,5
229,1095,104,2
230,1095,105,2
231,1096,101,3
232,1096,118,5
233,1096,112,4
234,1096,118,2
235,1097,103,3
236,1098,123,4
237,1098,117,4
238,1098,125,4
239,1098,119,1
240,1099,111,1
241,1099,115,4
242,1100,105,5
243,1100,121,5
244,1100,106,2
245,1101,117,1
246,1101,104,5
247,1101,105,3
248,1101,106,2
249,1102,123,2
250,1102,112,5
251,1102,110,1
252,1103,107,5
253,1103,109,2
254,1103,121,3
255,1104,117,2
256,1105,106,5
257,1105,124,5
258,1106,119,1
259,1106,101,1
260,1106,102,5
261,1107,121,2
262,1107,125,5
263,1107,114,5
264,1108,116,5
265,1109,121,3
266,1109,116,2
267,1109,122,4
268,1110,115,1
269,1110,123,1
270,1110,106,4
271,1111,116,4
272,1111,107,3
273,1111,120,2
274,1111,111,3
275,1112,113,2
276,1112,125,3
277,1112,117,5
278,1113,111,2
279,1114,104,3
280,1114,115,2
281,1114,105,1
282,1114,102,3
283,1115,120,4
284,1115,108,2
285,1115,111,5
286,1115,124,3
287,1116,125,2
288,1116,116,5
289,1117,116,3
290,1117,116,1
291,1117,103,4
292,1117,117,4
293,1118,107,5
294,1118,112,1
295,1119,110,4
296,1120,110,5
297,1120,101,1
298,1120,114,2
299,1120,109,3
300,1121,112,1
301,1121,113,1
302,1121,119,5
303,1121,107,3
304,1122,103,4
305,1122,117,4
306,1122,125,5
307,1123,120,5
308,1123,104,2
309,1123,104,4
310,1124,111,5
311,1124,112,2
312,1124,107,5
313,1125,117,1
314,1125,102,1
315,1125,105,3
316,1125,116,5
317,1126,105,5
318,1126,117,2
319,1126,111,5
320,1126,111,2
321,1127,120,3
322,1127,119,3
323,1127,117,5
324,1127,118,4
325,1128,116,1
326,1128,112,3
327,1128,122,1
328,1129,119,3
329,1129,124,1
330,1129,120,4
331,1129,109,5
332,1130,124,1
333,1130,119,4
334,1131,117,5
335,1131,125,4
336,1132,122,2
337,1132,102,5
338,1133,107,1
339,1134,111,4
340,1134,105,4
341,1134,123,2
342,1134,114,5
343,1135,124,1
344,1135,123,2
345,1135,117,2
346,1135,118,3
347,1136,117,4
348,1136,111,2
349,1136,115,5
350,1136,111,5
351,1137,122,3
352,1137,120,4
353,1137,107,2
354,1138,118,3
355,1138,108,3
356,1138,125,3
357,1139,123,4
358,1139,111,4
359,1140,118,3
360,1140,110,1
361,1140,119,5
362,1141,113,3
363,1141,125,2
364,1141,110,1
365,1141,110,1
366,1142,115,3
367,1142,124,4
368,1142,107,2
369,1143,118,3
370,1143,105,1
371,1143,120,5
372,1144,108,1
373,1144,122,5
374,1145,121,2
375,1145,102,1
376,1146,111,4
377,1146,104,2
378,1146,101,5
379,1146,106,4
380,1147,116,2
381,1147,125,3
382,1147,111,3
383,1147,121,1
384,1148,121,5
385,1149,118,1
386,1149,106,4
387,1150,102,4
388,1150,116,2
389,1151,102,1
390,1151,110,5
391,1151,120,1
392,1152,110,4
393,1152,121,5
394,1152,117,4
395,1153,117,4
396,1153,109,2
397,1154,111,2
398,1155,121,3
399,1155,123,2
400,1155,101,3
401,1155,110,5
402,1156,106,5
403,1156,121,4
404,1157,117,3
405,1157,103,4
406,1157,122,1
407,1157,106,2
408,1158,111,2
409,1158,101,3
410,1158,113,2
411,1158,115,3
412,1159,110,5
413,1159,124,5
414,1159,101,3
415,1160,123,2
416,1160,102,1
417,1160,115,3
418,1161,113,5
419,1161,123,3
420,1162,121,3
421,1163,120,2
422,1163,108,2
423,1163,116,2
424,1164,124,5
425,1164,112,4
426,1164,123,5
427,1164,116,5
428,1165,125,2
429,1165,122,5
430,1166,117,4
431,1167,103,5
432,1167,104,1
433,1167,118,5
434,1168,119,5
435,1168,105,2
436,1169,117,4
437,1169,104,2
438,1169,123,5
439,1170,103,5
440,1170,115,1
441,1170,115,2
442,1170,117,4
443,1171,119,1
444,1171,118,4
445,1171,122,3
446,1171,124,1
447,1172,109,1
448,1172,124,2
449,1172,119,1
450,1172,102,4
451,1173,123,1
452,1173,118,1
453,1173,103,4
454,1174,110,4
455,1175,125,2
456,1175,125,4
457,1176,113,4
458,1176,113,4
459,1176,103,5
460,1177,121,3
461,1177,104,2
462,1178,117,2
463,1178,124,2
464,1178,101,1
465,1178,110,4
466,1179,118,4
467,1179,108,2
468,1179,115,3
469,1179,105,3
470,1180,124,1
471,1180,102,4
472,1181,108,2
473,1182,104,5
474,1183,115,5
475,1184,108,1
476,1185,115,2
477,1185,118,2
478,1185,125,1
479,1185,105,5
480,1186,108,5
481,1186,111,5
482,1186,120,3
483,1187,110,2
484,1187,122,5
485,1188,114,3
486,1188,109,1
487,1189,121,4
488,1189,118,4
489,1190,112,4
490,1191,123,4
491,1191,114,2
492,1191,110,4
493,1192,125,5
494,1192,116,2
495,1193,110,2
496,1193,115,1
497,1194,114,5
498,1194,117,2
499,1194,113,2
500,1194,109,2
501,1195,121,1
502,1195,115,3
503,1195,103,5
504,1196,102,3
505,1196,113,5
506,1197,103,2
507,1198,116,2
508,1198,111,3
509,1199,107,2
510,1200,124,4
511,1201,123,5
512,1201,123,2
513,1202,108,5
514,1202,111,3
515,1202,113,4
516,1202,118,3
517,1203,109,3
518,1203,117,4
519,1203,115,1
520,1204,125,3
521,1204,107,3
522,1204,111,4
523,1204,102,5
524,1205,124,2
525,1205,101,3
526,1206,110,2
527,1206,107,3
528,1206,108,4
529,1206,119,2
530,1207,118,3
531,1207,109,4
532,1207,124,4
533,1207,115,2
534,1208,106,2
535,1208,124,5
536,1208,116,2
537,1209,117,1
538,1210,122,1
539,1211,114,2
540,1212,103,2
541,1212,101,2
542,1213,112,1
543,1213,120,5
544,1213,116,4
545,1213,101,1
546,1214,101,1
547,1214,117,3
548,1214,118,3
549,1214,101,5
550,1215,106,1
551,1215,104,5
552,1215,105,2
553,1215,107,5
554,1216,112,3
555,1216,113,1
556,1216,112,4
557,1217,119,2
558,1217,123,2
559,1217,110,1
560,1217,121,1
561,1218,113,4
562,1219,118,4
563,1219,102,1
564,1219,123,2
565,1219,103,4
566,1220,121,3
567,1220,119,1
568,1220,117,1
569,1220,108,2
570,1221,109,1
571,1221,103,3
572,1221,118,5
573,1221,122,1
574,1222,111,1
575,1222,107,5
576,1223,125,4
577,1223,103,3
578,1224,119,2
579,1224,119,4
580,1225,113,2
581,1225,123,1
582,1225,117,3
583,1226,104,4
584,1227,103,3
585,1227,120,5
586,1228,125,3
587,1228,101,3
588,1228,115,4
589,1228,108,3
590,1229,114,2
591,1229,122,5
592,1229,122,4
593,1229,103,5
594,1230,108,1
595,1230,103,3
596,1230,105,4
597,1231,124,4
598,1231,111,3
599,1232,103,1
600,1233,115,3
601,1233,125,3
602,1233,104,2
603,1234,106,4
604,1235,118,5
605,1235,117,4
606,1235,104,1
607,1235,103,3
608,1236,120,5
609,1237,113,1
610,1237,110,4
611,1237,113,1
612,1238,119,5
613,1238,106,4
614,1239,105,3
615,1239,110,3
616,1240,105,1
617,1240,106,4
618,1240,109,4
619,1240,110,4
620,1241,112,3
621,1242,124,4
622,1242,120,5
623,1243,115,1
624,1243,105,3
625,1244,113,3
626,1245,111,4
627,1245,111,4
628,1245,121,5
629,1245,105,3
630,1246,120,2
631,1246,116,3
632,1246,106,4
633,1247,110,4
634,1247,119,2
635,1247,111,4
